ds,yhat,yhat_lower,yhat_upper
2020-09-17,209.96215836078247,189.72991499028973,228.74194108166793
2020-09-18,208.91486217158385,189.3871786209944,229.53151783555245
2020-09-19,177.03627757886352,157.16984389690367,199.50363192641265
2020-09-20,172.6319814643569,154.62534201050897,191.13780003314602
2020-09-21,223.6162245849503,204.2689267359359,241.3704962859856
2020-09-22,207.99446522023197,188.1677480644767,227.1827295433307
2020-09-23,204.00757745072306,184.16991348556917,223.88835775737246
2020-09-24,200.98614533603046,181.80330512533104,221.40429631806361
2020-09-25,200.41598833510892,180.65123030255455,219.88766184514674
2020-09-26,170.21825178729497,149.73996890069913,188.13944141021852
2020-09-27,166.48110177052558,147.62269455065913,185.38556831958223
2020-09-28,216.01787150560264,195.7853050204891,235.1627672590466
2020-09-29,201.4898542939385,181.81937226127386,221.41298975485606
2020-09-30,198.13237962004766,178.12446435543927,218.40009554934664
2020-10-01,195.67109291011528,175.93648944205185,213.90120706009571
2020-10-02,195.5200369150563,174.7992428812661,214.388311614707
2020-10-03,166.8518222428136,147.1094614720839,184.79969690058468
2020-10-04,163.53959464312098,144.83541170536768,181.71543529687904
2020-10-05,211.30060577757158,192.18572519762105,229.49494351035992
2020-10-06,197.45916034278923,178.09286017036857,215.4790659821346
2020-10-07,195.1755642833526,176.79037400930153,214.60366606252583
2020-10-08,193.64852122314792,173.17584320859427,212.23498073661284
2020-10-09,194.26359505233216,174.2626061099038,213.4763781720664
2020-10-10,166.9191943943401,146.73071935450446,186.94988639538997
2020-10-11,164.13442763160268,144.0785128957251,184.05461423876443
2020-10-12,178.88649125536264,159.80196635097377,198.71253955019742
2020-10-13,198.4388829524016,177.47721855504665,217.91456078261757
2020-10-14,195.65379244799362,176.39768712087564,214.6636621531857
2020-10-15,193.56139020879817,174.4256877813789,212.37943749950844
2020-10-16,193.5479243497913,174.0822948861061,211.43900283518755
2020-10-17,165.79190225246978,145.63264197971543,185.27755764270353
2020-10-18,162.36389145276578,141.89419112557033,181.5442672545159
2020-10-19,208.7720040302123,188.37030681630623,229.88147956235173
2020-10-20,195.0464128128221,175.32267414588352,215.6747799656282
2020-10-21,191.66726622267396,171.40299418237896,211.51666679304816
2020-10-22,189.0218206997081,169.07965914111813,209.17872077932125
2020-10-23,188.49787976905185,169.33688539766166,207.09379720582177
2020-10-24,160.5522428914033,141.74261085542344,180.8485479111992
2020-10-25,156.80247652638784,138.0903429816381,178.1279578748136
2020-10-26,203.2857837979643,184.7234227291797,221.98943477727923
2020-10-27,190.1721695466971,170.56351785231257,209.04804440326507
2020-10-28,187.43134608870628,169.87160706105277,207.876085350158
2020-10-29,185.51204479536736,165.4124803925368,204.60132585469844
2020-10-30,185.82341192739915,167.2539346784027,203.5713058930972
